depth,trace,hit_rate,coverage,accuracy,mlp
1,stride_regular,0.9998,0.9980,0.4995,1.0000
1,irregular,0.4445,0.0389,0.0389,1.0000
2,stride_regular,0.9998,0.9980,0.4990,2.0000
2,irregular,0.4445,0.0389,0.0198,2.0000
3,stride_regular,0.9998,0.9980,0.4985,3.0000
3,irregular,0.4445,0.0389,0.0133,3.0000
4,stride_regular,0.9998,0.9980,0.4981,4.0000
4,irregular,0.4450,0.0398,0.0102,4.0000
5,stride_regular,0.9998,0.9980,0.4976,5.0000
5,irregular,0.4455,0.0407,0.0084,5.0000
6,stride_regular,0.9998,0.9980,0.4971,6.0000
6,irregular,0.4465,0.0424,0.0073,6.0000
7,stride_regular,0.9998,0.9980,0.4966,7.0000
7,irregular,0.4490,0.0467,0.0069,7.0000
8,stride_regular,0.9998,0.9980,0.4961,8.0000
8,irregular,0.4605,0.0879,0.0119,8.0000
9,stride_regular,0.9998,0.9980,0.4956,9.0000
9,irregular,0.4615,0.0896,0.0108,9.0000
10,stride_regular,0.9998,0.9980,0.4952,10.0000
10,irregular,0.4640,0.0931,0.0101,10.0000
11,stride_regular,0.9998,0.9980,0.4947,11.0000
11,irregular,0.4650,0.0948,0.0094,11.0000
12,stride_regular,0.9998,0.9980,0.4942,12.0000
12,irregular,0.4660,0.0964,0.0088,12.0000
